,State_x,Pathway,Unnamed: 0,Natural Gas Price,Electricity Price,Water Price (Hydrogen),LTCHSMR
0,Alabama,SMR,0,0.1505284511666076,0.3135530449644772,0.2108511882363883,5.618713027439712
1,Alabama,SMR,1,0.046671824,0.048592914,0.2387398399401648,5.6890071662072685
2,Alabama,SMR,2,0.2784313712170185,0.3488361597875041,0.3301218670493594,6.161620322498217
3,Alabama,SMR,3,0.1152414946126649,0.5228921169484211,0.604670225,7.351101661318597
4,Alabama,SMR,4,0.2226849443731129,0.1361676553071497,0.1414533236388319,5.305589328899102
5,Alabama,SMR,5,0.155721382,0.1306886789814169,0.339114806,6.152938298426868
6,Alabama,SMR,6,0.089846947,0.3286239347463765,0.051841359,4.920345868696556
7,Alabama,SMR,7,0.2284502228872109,0.1002245201918519,0.1076568846899794,5.155015904545526
8,Alabama,SMR,8,0.4292894742675824,0.592528264,0.067297132,5.075425225796468
9,Alabama,SMR,9,0.1099560984620269,0.3246459368898301,0.2980875621041836,5.992699479744386
10,Alabama,SMR,10,0.084589225,0.013983254,0.2420739693925853,5.704982318245077
11,Alabama,SMR,11,0.2624966799325504,0.01758735,0.2391787645942694,5.7209834589684165
12,Alabama,SMR,12,0.4903546079756813,0.6697831919628803,0.3648571523691914,6.387717387518235
13,Alabama,SMR,13,0.2998708764142773,0.1567964048777439,0.3825679886156508,6.367868548265085
14,Alabama,SMR,14,0.1676597664251027,0.070347763,0.186953752,5.485992624647994
15,Alabama,SMR,15,0.3487318455571579,0.4441164480501389,0.2177531185064367,5.696984391247645
16,Alabama,SMR,16,0.3814865117956163,0.074086419,0.066563363,4.997287428586056
17,Alabama,SMR,17,0.1142990815187554,0.049746178,0.2906584958564762,5.925376838639796
18,Alabama,SMR,18,0.1795046874444396,0.011300204,0.1038976469517236,5.119392220155506
19,Alabama,SMR,19,0.3868754119104963,0.1680903023167876,0.2760410494144016,5.920330447650337
20,Alabama,SMR,20,0.1147863402266656,0.082354631,0.039597617,4.839084467439541
21,Alabama,SMR,21,0.2649189921440347,0.42165125,0.016472009,4.806456344557847
22,Alabama,SMR,22,0.1636479060364369,0.8739423788430254,0.088353321,5.161505781433277
23,Alabama,SMR,23,0.176631203,0.096632213,0.003160151,4.692427686533002
24,Alabama,SMR,24,0.2241918989367668,0.3284569888614694,0.07108832,5.025159466511987
25,Alabama,SMR,25,0.1455557643774913,0.1535548060255861,0.08160516,5.035682826061426
26,Alabama,SMR,26,0.2101873932085517,0.3170174673127894,0.1853227541424573,5.517693997483583
27,Alabama,SMR,27,0.174491402,0.2959546348572302,0.2071279740278523,5.604037737894656
28,Alabama,SMR,28,0.2116884928861097,0.1083323638804896,0.2471566189503777,5.759408416512045
29,Alabama,SMR,29,0.2182530060301137,0.3634459802857298,0.045373068,4.917062633000392
30,Alabama,SMR,30,0.1283747708754141,0.1002694327646954,0.030745883,4.805108428491575
31,Alabama,SMR,31,0.018738058,0.034327064,0.2015850097553748,5.521338488472889
32,Alabama,SMR,32,0.041011197,0.6477098429577699,0.018183895,4.8079029615002895
33,Alabama,SMR,33,0.1440968454554309,0.7710614715544687,0.1030724852331798,5.208982243348108
34,Alabama,SMR,34,0.2218269176229797,0.032321241,0.1092152018728199,5.1519113258494365
35,Alabama,SMR,35,0.1088826552929631,0.1067909339944235,0.4035334528517005,6.422265674754485
36,Alabama,SMR,36,0.049494952,0.004570301,0.1395863239460956,5.253007407464219
